open,high,low,close,volume
87.11,87.84,86.95,87.81,7187901
86.96,87.58,86.52,87.52,10396767
87.34,87.86,87.09,87.35,11259669
86.98,87.25,86.0,86.96,13370996
85.99,87.1,85.73,86.29,12387246
84.45,86.43,84.41,85.96,16262555
85.32,85.5,83.25,83.47,17668044
85.18,85.83,84.27,85.2,14179948
85.73,86.59,85.67,86.51,10163087
85.7,86.44,84.9,85.25,15770636
83.23,85.2,82.1,85.15,14045706
81.0,84.3,80.61,84.22,20575130
82.13,82.44,80.65,80.7,14235526
83.85,85.27,82.51,82.68,28909162
84.91,85.26,83.5,84.1,25321706
86.6,87.64,84.53,85.3,23075642
87.94,88.1,85.6,86.43,24712567
88.04,88.78,86.59,87.19,22089533
91.16,91.24,88.69,88.96,19422740
92.22,92.73,91.44,92.06,11567208
92.2,93.17,91.91,91.97,12581032
91.67,92.28,90.54,91.19,13632328
90.61,91.25,88.65,90.91,15372051
92.67,92.8,90.11,90.56,14930858
92.12,92.93,90.135,92.93,18492882
95.39,95.92,93.11,93.28,15011336
95.81,95.81,94.86,95.41,12158136
93.9,95.87,93.8,95.87,15875944
93.43,94.51,93.3,93.96,8796008
91.72,93.68,91.7,93.65,11870393
90.21,91.45,89.88,91.45,9261963
90.36,90.75,89.98,90.51,7141247
89.03,90.18,88.98,89.64,3939469
90.31,90.32,89.49,89.51,9345117
90.3,90.97,89.81,90.02,11604320
92.13,92.19,90.47,90.87,8820959
90.96,92.48,90.91,92.04,11323185
89.68,91.23,88.83,91.12,15563868
91.61,91.62,89.89,90.32,11664016
92.0,92.37,90.78,91.05,14226950
92.81,92.95,91.48,91.69,8423548
93.11,93.26,92.5,92.95,8486522
93.0,93.56,92.87,93.22,7345597
91.35,93.25,91.29,93.17,13310811
89.93,90.61,89.8,90.51,7980944
89.38,90.45,89.38,90.05,7783769
90.69,90.84,88.67,89.26,12952987
89.0,89.97,88.97,89.82,9668637
89.29,89.65,88.63,88.7,13460681
87.65,88.72,87.2,88.58,15432052
88.43,89.08,86.41,87.64,14024311
87.6,88.22,86.35,87.42,25507931
87.28,89.03,86.27,88.42,15725063
90.23,90.75,87.18,87.29,17432153
89.6,90.71,88.88,90.27,15424486
91.5,91.67,90.34,90.76,8288278
92.51,92.83,91.39,91.51,11318605
93.36,93.37,91.61,92.35,14455855
92.86,93.64,92.39,93.41,14232285
91.14,93.08,91.13,92.92,13505912
90.92,91.32,90.37,90.44,13909713
90.77,91.41,90.02,91.07,20797355
91.93,92.14,89.04,89.69,46581800
94.4,94.51,92.12,92.18,22549315
94.0,94.74,93.71,94.41,7463876
94.17,94.52,93.46,94.25,11924047
94.48,94.97,93.7,94.29,12291090
95.26,95.3,93.91,94.4,10976848
95.83,96.0,95.18,95.33,6367826
95.62,95.7,95.33,95.51,5572670
95.51,96.06,95.34,95.62,7307132
94.67,95.21,94.63,95.15,5995812
94.51,95.12,94.4,94.86,7168813
94.35,95.12,94.18,94.38,10880503
94.59,94.73,94.07,94.17,5215945
94.21,94.65,94.08,94.46,5392620
94.39,94.48,94.07,94.27,8579137
93.87,94.57,93.81,94.51,5083129
93.67,93.87,93.5,93.6,4186602
93.19,93.97,93.05,93.73,5423032
93.53,93.54,93.08,93.19,5543053
93.92,93.92,93.36,93.53,5929022
93.09,93.84,93.0,93.84,10603828
92.29,92.86,92.11,92.69,11056597
92.15,92.41,91.84,92.23,5683869
92.78,92.95,92.22,92.31,4233993
92.19,92.64,92.05,92.55,5591062
92.4,92.6,91.85,92.41,5940322
91.97,92.41,91.8,92.41,10218935
92.7,92.76,91.82,92.04,6875469
92.58,92.86,92.4,92.78,5808393
92.8,93.11,92.6,92.8,5266116
